"PLAYERS","DFG","BOT                               GVR                               HSM                               JHN                               LGN                               LPT                               MAC                               SHF                               SRL                               UFA                               VPP                               ZSK","ANA                               BOS                               BUF                               CAR                               CBJ                               CGY                               CHI                               COL                               DAL                               DET                               EDM                               FLA                               LAK                               MIN                               MTL                               NJD                               NSH                               NYI                               NYR                               OTT                               PHI                               PIT                               SEA                               SJS                               STL                               TBL                               TOR                               UFA                               UTA                               VAN                               VGK                               WPG                               WSH","Age","Cap","GP","Pts","PPG"
"Adam Fantilli                                A","F","GVR","CBJ","21","$0.9","60","42","0.7"
"Joel Eriksson Ek                                3","F","BOT","MIN","29","$1.5","56","42","0.8"
"Juuse Saros                                3","G","LGN","NSH","31","$2.2","46","42","0.9"
"Bo Horvat                                3","F","BOT","NYI","31","$1.5","48","42","0.9"
"Joey Daccord                                3","G","BOT","SEA","30","$0.9","36","42","1.2"
"Jordan Eberle                                3","F","SRL","SEA","36","$0.8","59","42","0.7"
"Joel Hofer                                D","G","BOT","STL","26","$0.5","33","42","1.3"
"Mikhail Sergachev                                3","D","LPT","UTA","28","$3.0","61","42","0.7"
"Aliaksei Protas                                3","F","HSM","WSH","25","$1.0","59","42","0.7"
"Josh Morrissey                                3","D","VPP","WPG","31","$4.8","56","42","0.8"
"Jackson LaCombe                                3","D","ZSK","ANA","25","$1.4","61","41","0.7"
"Charlie McAvoy                                3","D","GVR","BOS","28","$1.8","48","41","0.9"
"Nazem Kadri                                3","F","LGN","CGY","35","$2.5","60","41","0.7"
"Spencer Knight                                C","G","GVR","CHI","25","$0.5","42","41","1.0"
"Moritz Seider                                C","D","GVR","DET","25","$1.2","62","41","0.7"
"Zach Hyman                                3","F","SRL","EDM","34","$2.0","43","41","1.0"
"Roman Josi                                3","D","LPT","NSH","36","$5.4","49","41","0.8"
"Jack Hughes                                2","F","GVR","NJD","25","$5.6","41","41","1.0"
"Dustin Wolf                                C","G","LPT","CGY","25","$1.2","44","40","0.9"
"Kevin Fiala                                3","F","HSM","LAK","30","$3.1","56","40","0.7"
"Brock Faber                                C","D","LPT","MIN","24","$1.2","62","40","0.6"
"Jesper Wallstedt                                A","G","SRL","MIN","23","$0.5","25","40","1.6"
"Noah Dobson                                2","D","BOT","MTL","26","$2.0","60","40","0.7"
"Brady Tkachuk                                2","F","VPP","OTT","26","$3.0","40","40","1.0"
"Josh Doan                                3","F","UFA","BUF","24","$0.5","61","40","0.7"
"Pavel Zacha                                3","F","VPP","BOS","29","$1.3","57","39","0.7"
"Marcus Johansson                                3","F","JHN","MIN","35","$1.6","57","39","0.7"
"Igor Shesterkin                                3","G","JHN","NYR","30","$5.6","37","39","1.1"
"Vincent Trocheck                                3","F","ZSK","NYR","33","$2.2","46","39","0.8"
